,S2,S2_conf
"('theta', 'rho_b')",-0.8429314626060439,0.8028954909957338
"('theta', 'D')",-0.507758725392114,0.5498030113612927
"('theta', 'v')",37.50046492358234,70.29191082073407
"('theta', 'lamb')",-0.45089597865464887,0.5688716546907355
"('theta', 'alpha')",-0.5017707722715213,0.5382698270044812
"('theta', 'kd')",-0.5731437347382163,0.563657986794944
"('rho_b', 'D')",0.06950603101264197,0.12595214872115038
"('rho_b', 'v')",0.8493092884068356,1.5683482362410086
"('rho_b', 'lamb')",0.07511063583061245,0.12278216260940905
"('rho_b', 'alpha')",0.07316757750038791,0.12356430019939671
"('rho_b', 'kd')",0.0754439821807187,0.11712924224944947
"('D', 'v')",-0.679921095054822,1.1766843919749033
"('D', 'lamb')",0.013190180630819908,0.10198173654510506
"('D', 'alpha')",0.012054171358747286,0.10748229262898377
"('D', 'kd')",0.023130042454645762,0.08095324574652511
"('v', 'lamb')",-2.9396121567301883,6.162026972781867
"('v', 'alpha')",-2.9969573784480703,6.116712755152291
"('v', 'kd')",-2.9137427255074693,6.126860527665047
"('lamb', 'alpha')",0.008870412168369918,0.03247053350901564
"('lamb', 'kd')",0.010831015043336896,0.029846997967867803
"('alpha', 'kd')",0.003953964704570219,0.018742088975134356
